rStart,rEnd,status,mem,rLat,rId,eStart,eEnd,eLat,cId,cStart,vmId,primeNumber,result,osType,nodeVersion,pName,vName,cName,version
1619961978172.212,1619961978375.8247,200,1024,0.2036128044128418,gcf_16x16x16_1,1619961978339,1619961978339,0,1F4MON24B,1619961960320,1G8TA37,213,False,linux,v14.16.1,GCF,1G8TA37,1F4MON24B,39
1619961978179.2732,1619961978435.3857,200,1024,0.25611257553100586,gcf_16x16x16_1,1619961978405,1619961978405,0,1F4MQJSFQ,1619961971584,1G8TA3I,823,True,linux,v14.16.1,GCF,1G8TA3I,1F4MQJSFQ,39
1619961978193.9775,1619961978372.9395,200,1024,0.17896175384521484,gcf_16x16x16_1,1619961978338,1619961978338,0,1F4MM1297,1619961971871,1G8TA3J,749,False,linux,v14.16.1,GCF,1G8TA3J,1F4MM1297,39
1619962059458.5464,1619962061021.414,200,2048,1.5628676414489746,gcf_16x16x16_0,1619962060894,1619962060977,83,1F4MQC08L,1619962060811,1G8TA6C,913739,True,linux,v14.16.1,GCF,1G8TA6C,1F4MQC08L,40
1619962059460.7131,1619962061056.5903,200,2048,1.5958771705627441,gcf_16x16x16_0,1619962060925,1619962061006,81,1F4MRFCTH,1619962060822,1G8TA6C,913753,True,linux,v14.16.1,GCF,1G8TA6C,1F4MRFCTH,40
1619962059461.0527,1619962059908.4565,200,2048,0.4474039077758789,gcf_16x16x16_0,1619962059671,1619962059859,188,1F4MS2566,1619962051063,1G8TA62,1045621,True,linux,v14.16.1,GCF,1G8TA62,1F4MS2566,40
1619962059463.4236,1619962060772.812,200,2048,1.3093883991241455,gcf_16x16x16_0,1619962060614,1619962060719,105,1F4MRJIKR,1619962060544,1G8TA6C,1045727,True,linux,v14.16.1,GCF,1G8TA6C,1F4MRJIKR,40
1619962059909.8098,1619962060196.6428,200,2048,0.2868330478668213,gcf_16x16x16_0,1619962060055,1619962060166,111,1F4MS2566,1619962051063,1G8TA62,1046119,True,linux,v14.16.1,GCF,1G8TA62,1F4MS2566,40
1619962060197.807,1619962060415.9126,200,2048,0.21810579299926758,gcf_16x16x16_0,1619962060373,1619962060381,8,1F4MS2566,1619962051063,1G8TA62,21365,False,linux,v14.16.1,GCF,1G8TA62,1F4MS2566,40
1619962060417.245,1619962060606.3608,200,2048,0.1891157627105713,gcf_16x16x16_0,1619962060576,1619962060577,1,1F4MS2566,1619962051063,1G8TA62,21823,False,linux,v14.16.1,GCF,1G8TA62,1F4MS2566,40
1619962060607.295,1619962060783.4646,200,2048,0.17616963386535645,gcf_16x16x16_0,1619962060744,1619962060745,1,1F4MS2566,1619962051063,1G8TA62,21749,False,linux,v14.16.1,GCF,1G8TA62,1F4MS2566,40
1619962060776.3716,1619962060986.4163,200,2048,0.21004486083984375,gcf_16x16x16_0,1619962060954,1619962060954,0,1F4MS2566,1619962051063,1G8TA62,213,False,linux,v14.16.1,GCF,1G8TA62,1F4MS2566,40
